,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
1624,268.1103464,14704.2967,2432.788155,1893.86568,67402.9826,366.523833,379.80936,-176.6191244,136.7474579,493.5262085,3.27765701,-6.805035636
1625,268.4120635,14705.0225,2432.428462,1893.68706,67395.4267,366.536299,379.85315,-177.6987898,138.1220191,493.8943161,3.28279278,-6.906644286
1626,268.2519544,14704.54911,2432.504064,1893.74239,67399.3407,366.546654,379.872962,-177.3550352,137.4835304,493.9892825,3.29025865,-6.889461629
1627,268.4296984,14705.20233,2432.464409,1894.02769,67414.6328,366.548513,379.889462,-177.693198,136.8070018,494.1600438,3.28900559,-6.889716976
1628,268.406899,14705.44453,2432.461356,1893.74213,67399.1717,366.548245,379.887152,-177.8693163,138.0042303,493.9385924,3.2891116,-6.906310732
1629,267.9299398,14703.54628,2433.061804,1893.91363,67403.2837,366.507334,379.747458,-175.7474344,135.9491047,493.4271461,3.27157597,-6.742804356
1630,268.0465272,14704.02059,2432.796605,1893.87611,67400.3492,366.513182,379.771352,-176.4855574,136.7902739,493.7228983,3.27318831,-6.803399194
1631,268.356694,14705.02387,2432.420705,1893.80474,67402.3071,366.552967,379.897296,-177.8941702,137.7516278,494.2792807,3.29233395,-6.92125476
1632,268.3679575,14705.0376,2432.538377,1893.74574,67396.7913,366.540826,379.8636,-177.4354832,137.6545125,493.8965155,3.2856461,-6.882430039
1633,268.2262003,14704.30818,2432.799283,1893.81269,67399.8426,366.522479,379.7986,-176.5592895,136.7900825,493.3884959,3.2782665,-6.811730386
1634,268.3710938,14704.93913,2432.70434,1893.82629,67399.5257,366.535101,379.850364,-177.1331291,137.4054191,493.5282926,3.28218949,-6.831299954
1635,268.2284518,14704.42502,2432.756177,1893.74382,67395.2778,366.518158,379.791423,-176.7482513,137.366143,493.561909,3.27487201,-6.822344638
1636,268.2814168,14704.77711,2432.656526,1893.78856,67399.9671,366.539995,379.85727,-177.236334,137.5271888,493.8737899,3.28597631,-6.862292136
1637,268.4527511,14705.37236,2432.498989,1893.75296,67401.4524,366.548673,379.892821,-177.7211855,136.9987338,493.7420488,3.28863162,-6.885982569
1638,268.0255481,14703.93439,2433.025785,1893.83404,67396.4265,366.511756,379.766967,-175.9685991,136.6876888,493.242224,3.27282099,-6.75190121
